Team,Player,Age,Matches,GA90,Save%,CS%,PSXG+/-,Launched CMP% (40+ yards),CMP% (15-30 yards),CMP% (30+ yards),Launch% goal kicks,Defensive actions,Errors,Errors under pressure,Miscontrol,Rating
Charleroi,Mohamed Koné,22.0,21.0,1.0,75.7,28.6,3.8,40.8,98.2,52.1,58.5,1.57,3,0,0,55
Napoli,Alex Meret,27.0,33.4,0.76,71.4,48.5,2.3,41.1,98.5,61.8,29.8,1.41,0,0,1,55
Bayern Munich,Manuel Neuer,38.0,22.0,0.68,68.9,59.1,0.0,47.4,98.1,65.1,37.5,1.82,1,0,0,55
Angers,Yahia Fofana,23.0,33.0,1.55,74.2,21.2,12.5,33.1,98.4,44.0,55.6,0.61,2,0,0,53
Internazionale,Yann Sommer,35.0,33.0,0.97,75.0,39.4,0.7,40.3,99.3,62.0,18.3,0.42,1,0,0,53
Atalanta,Marco Carnesecchi,24.0,34.0,1.0,75.2,38.2,4.1,32.4,99.6,47.3,62.7,1.32,2,0,0,52
Auxerre,Donovan Léon,31.0,32.0,1.5,73.8,28.1,10.8,32.8,98.6,39.5,78.5,1.22,1,0,0,52
Fiorentina,David de Gea,33.0,35.0,1.09,72.6,31.4,0.0,44.5,98.4,55.3,56.0,0.8,0,0,0,51
Lille,Lucas Chevalier,22.0,34.0,1.06,74.6,32.4,7.2,38.9,98.2,50.2,34.8,0.71,4,0,0,51
Barcelona,Wojciech Szczęsny,34.0,15.0,0.8,66.7,53.3,0.0,38.1,98.8,59.1,25.9,3.73,1,0,0,51
Manchester City,Ederson,30.0,25.8,1.04,69.2,40.0,5.0,43.6,98.3,65.3,23.4,1.9,4,0,1,51
Genoa,Nicola Leali,31.0,29.0,1.07,74.8,34.5,6.3,38.4,99.1,44.9,50.0,0.48,1,0,0,51
Club Brugge,Simon Mignolet,36.0,29.7,1.21,68.9,27.6,3.0,47.8,98.2,58.4,30.1,0.91,2,0,0,51
Torino,Vanja Milinković-Savić,27.0,37.0,1.14,77.5,27.0,11.4,31.8,98.4,43.7,59.4,1.24,4,1,1,50
Villarreal,Luiz Lúcio Reis Júnior,23.0,16.2,1.13,78.8,31.3,0.1,34.3,97.6,44.2,53.5,1.23,1,0,1,50
Liverpool,Alisson,31.0,27.9,1.07,72.0,33.3,3.5,33.5,98.4,47.4,37.5,1.76,1,0,1,50
Real Betis,Rui Silva,30.0,15.0,1.2,72.2,26.7,1.4,31.3,100.0,45.8,36.8,2.07,0,0,1,50
Standard Liege,Matthieu Epolo,20.0,18.5,1.14,77.4,44.4,6.2,33.4,95.1,39.2,83.2,0.92,2,0,0,50
Reims,Yehvann Diouf,24.0,34.0,1.38,76.0,20.6,14.6,32.3,97.2,43.4,61.4,1.24,4,0,2,50
Bournemouth,Kepa Arrizabalaga,29.0,31.0,1.26,73.9,25.8,2.0,36.2,98.2,48.2,46.4,1.74,3,0,0,50
Bayer Leverkusen,Lukáš Hrádecký,34.0,29.0,1.31,71.2,20.7,0.8,40.2,97.8,51.8,49.6,1.34,2,0,0,50
Everton,Jordan Pickford,30.0,38.0,1.16,73.0,31.6,4.8,37.7,98.5,46.1,62.8,1.5,2,0,2,49
Marseille,Gerónimo Rulli,32.0,34.0,1.38,67.4,14.7,2.5,45.5,98.3,59.6,35.2,1.74,3,0,1,49
Dender,Michael Verrips,27.0,26.0,1.61,73.6,26.9,6.0,35.7,97.5,42.3,62.9,0.15,2,0,0,49
Mechelen,Ortwin De Wolf,27.0,30.0,1.33,75.4,30.0,9.3,34.9,98.9,48.6,36.0,0.77,3,0,1,49
Alaves,Antonio Sivera,27.0,31.2,1.27,73.2,25.8,2.0,41.0,98.0,43.1,85.6,0.93,0,0,0,48
Milan,Mike Maignan,29.0,36.6,1.14,70.6,33.3,-1.2,38.6,99.5,61.8,36.1,1.86,3,0,1,47
Mallorca,Dominik Greif,27.0,31.0,1.1,72.4,22.6,0.9,40.2,99.7,46.3,62.2,0.68,1,0,1,47
Barcelona,Iñaki Peña,25.0,15.5,1.2,69.8,26.7,-1.3,29.5,99.2,55.2,22.6,5.74,1,0,0,47
Atletico Madrid,Jan Oblak,31.0,36.0,0.83,78.1,41.7,-2.4,39.4,99.3,53.8,41.2,0.78,2,0,1,47
Espanyol,Joan García,23.0,38.0,1.34,75.5,21.1,7.7,36.9,98.8,47.2,62.5,0.92,4,0,2,46
St Pauli,Nikola Vasilj,28.0,33.0,1.18,71.9,27.3,9.4,33.3,98.9,43.1,44.8,0.82,3,0,0,46
Sint Truiden,Leo Kokubo,23.0,27.0,1.67,70.2,14.8,2.0,35.5,98.9,47.6,33.1,1.33,2,1,0,46
Athletic Club,Unai Simón,27.0,21.0,0.67,79.0,47.6,2.3,37.3,98.3,44.3,77.8,1.33,4,1,1,46
RB Leipzig,Péter Gulácsi,34.0,29.2,1.37,73.0,48.3,3.6,37.8,98.0,56.4,33.7,1.16,4,0,1,46
Venezia,Filip Stankovic,22.0,15.2,1.53,77.1,0.0,3.2,29.8,96.8,41.9,43.8,0.86,2,0,0,46
Athletic Club,Julen Agirrezabala,23.0,13.4,0.67,76.5,35.7,1.5,32.0,100.0,35.7,75.8,1.27,0,0,1,46
