Team,Player,Age,Matches,Cmp%,Progressive Paces,Progressive Carries,Tackles+Interception,Blocks,Aerial Won,Fouls Commited,Dangerous Fouls,Errors,Rating
Union Berlin,Tom Rothe,19.0,18.6,68.1,2.7,1.3,3.4,2.2,2.3,1.3,9,1,57
Werder Bremen,Marco Friedl,26.0,24.0,90.2,2.9,0.2,4.0,1.7,1.9,1.1,23,1,57
Sint Truiden,Bruno Godeau,32.0,27.4,87.3,3.7,0.5,2.9,1.4,2.6,0.7,6,2,57
Nantes,Nathan Zeze,19.0,16.8,85.8,2.7,0.1,3.6,1.3,1.7,1.0,6,1,57
Monaco,Thilo Kehrer,27.0,26.5,89.9,5.2,0.6,2.8,0.7,2.0,0.9,1,1,57
Union SG,Alessio Castro-Montes,27.0,11.5,72.9,3.7,3.0,3.0,1.6,0.7,0.7,5,0,57
Hellas Verona,Giangiacomo Magnani,28.0,11.8,80.7,2.6,0.3,3.1,1.4,2.5,0.7,2,1,57
Milan,Alejandro Jiménez,19.0,14.2,80.1,2.6,3.9,2.7,1.7,0.6,0.8,6,0,57
Fiorentina,Robin Gosens,30.0,28.1,76.5,3.6,1.1,2.6,1.2,2.5,0.9,6,0,57
Manchester United,Harry Maguire,31.0,19.6,85.5,2.6,0.4,3.6,0.8,3.3,0.9,7,1,57
Brighton and Hove Albion,Pervis Estupiñán,26.0,26.7,83.1,4.9,2.2,3.8,0.7,1.7,1.3,5,2,57
Torino,Guillermo Maripán,30.0,26.0,86.3,3.7,0.5,3.1,1.0,2.8,1.1,9,1,57
Bochum,Gerrit Holtmann,29.0,12.7,65.7,2.6,3.9,3.1,1.4,0.9,2.0,2,0,57
Werder Bremen,Anthony Jung,32.0,21.1,89.6,5.7,0.9,2.8,1.1,1.6,0.4,7,1,57
Union SG,Ousseynou Niang,22.0,11.9,76.3,3.5,3.2,3.3,2.7,0.4,1.8,5,1,57
Empoli,Luca Marianucci,20.0,11.9,76.8,2.4,1.0,3.9,1.3,2.4,0.9,5,1,57
Getafe,Iglesias,26.0,32.1,57.1,2.6,1.0,4.1,1.5,1.1,1.4,4,1,57
Athletic Club,Andoni Gorosabel,27.0,16.6,83.3,3.1,1.0,3.9,1.1,1.2,1.4,5,0,57
Barcelona,Iñigo Martínez,33.0,27.7,91.0,9.4,2.5,1.6,0.6,2.1,0.6,5,1,56
Lens,Jonathan Gradit,31.0,23.5,85.1,5.4,0.8,2.9,1.1,2.7,1.2,4,2,56
Lens,Przemysław Frankowski,29.0,15.4,80.1,7.6,2.1,3.3,0.6,0.5,1.2,3,0,56
Tottenham Hotspur,Djed Spence,23.0,19.9,85.4,5.3,3.0,3.4,1.4,1.1,1.1,12,2,56
Leicester City,Victor Bernth Kristiansen,21.0,27.7,77.4,2.5,1.4,4.7,1.4,0.8,0.7,4,3,56
Leicester City,Luke Thomas,23.0,12.4,78.4,3.0,0.4,4.2,1.2,1.0,1.3,6,1,56
Athletic Club,Daniel Vivian,25.0,29.0,87.1,6.4,1.2,3.0,0.9,1.5,0.9,6,2,56
Leicester City,Caleb Okoli,23.0,12.5,86.3,2.6,0.2,3.2,1.9,1.8,1.3,4,3,56
Dortmund,Nico Schlotterbeck,24.0,22.0,89.2,8.9,1.7,2.7,1.4,2.4,0.8,23,1,56
Beerschot Wilrijk,Brian Plat,24.0,23.3,80.0,2.4,0.9,3.9,1.4,1.9,1.0,10,1,56
Torino,Borna Sosa,26.0,13.2,79.6,3.9,1.0,3.0,1.0,1.2,0.9,3,0,56
Torino,Sebastian Walukiewicz,24.0,18.5,81.1,4.3,1.4,3.0,1.1,1.2,1.6,6,0,56
Westerlo,Roman Neustädter,36.0,16.0,87.4,3.1,0.2,3.1,0.9,1.4,0.5,2,0,56
Manchester City,Joško Gvardiol,22.0,36.4,90.2,7.3,2.5,2.8,1.2,1.5,0.4,2,8,56
Arsenal,Ben White,26.0,13.3,83.8,4.4,1.7,2.7,0.8,1.4,0.8,2,0,56
Union SG,Ross Sykes,25.0,11.3,76.6,2.7,0.6,3.7,0.8,4.4,1.2,4,1,56
Brighton and Hove Albion,Joël Veltman,32.0,18.9,80.2,4.5,1.7,3.3,1.2,1.1,1.4,8,0,56
