Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Monaco,Aleksandr Golovin,ru RUS,MF,28.0,12.9,48,3.74,36,3,4,4,1,0,1,0.08,1,0,0,0,0,0
Monaco,Soungoutou Magassa,fr FRA,MF,20.0,11.4,19,1.67,19,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Monaco,Mohammed Salisu,gh GHA,DF,25.0,11.4,14,1.23,11,0,0,2,0,1,1,0.09,1,0,0,0,0,0
Monaco,Jordan Teze,nl NED,DF,24.0,6.4,19,3.01,19,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Monaco,Folarin Balogun,us USA,FW,23.0,6.9,19,2.78,13,0,1,4,1,0,2,0.29,0,0,1,1,0,0
Monaco,George Ilenikhena,ng NGA,FW,17.0,8.0,17,2.14,11,0,2,2,2,0,3,0.38,2,0,0,0,1,0
Monaco,Kassoum Ouattara,fr FRA,DF,19.0,4.4,9,2.07,8,0,0,0,1,0,1,0.23,1,0,0,0,0,0
Monaco,Krépin Diatta,sn SEN,DF,25.0,5.7,10,1.77,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Monaco,Almoatasem Al Musrati,ly LBY,MF,28.0,4.3,15,3.51,12,0,1,2,0,0,1,0.23,1,0,0,0,0,0
Monaco,Ismail Jakobs,sn SEN,DF,24.0,2.0,8,4.0,6,2,0,0,0,0,1,0.5,1,0,0,0,0,0
Monaco,Saïmon Bouabré,fr FRA,MF,18.0,1.1,1,0.93,1,0,0,0,0,0,1,0.93,1,0,0,0,0,0
Monaco,Eliot Matazo,be BEL,MF,22.0,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Monaco,Lucas Michal,fr FRA,FW,19.0,1.3,7,5.38,6,0,0,0,0,1,1,0.77,1,0,0,0,0,0
Monaco,Mamadou Coulibaly,fr FRA,MF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Marcin Bułka,pl POL,GK,24.0,34.0,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Nice,Evann Guessand,ci CIV,FW,23.0,28.6,91,3.19,56,0,16,7,8,4,17,0.6,10,0,3,2,1,1
Nice,Hicham Boudaoui,dz ALG,MF,24.0,27.1,65,2.4,53,1,1,5,3,2,7,0.26,6,0,0,0,1,0
Nice,Jonathan Clauss,fr FRA,DF,31.0,25.7,99,3.87,58,35,0,3,2,1,15,0.59,9,4,0,1,1,0
Nice,Moïse Bombito,ca CAN,DF,24.0,24.4,18,0.74,17,0,0,0,0,1,4,0.16,4,0,0,0,0,0
Nice,Melvin Bard,fr FRA,DF,23.0,21.6,49,2.28,40,2,4,2,1,0,4,0.19,4,0,0,0,0,0
Nice,Youssouf Ndayishimiye,bi BDI,DF,25.0,21.5,30,1.4,23,0,1,1,3,2,2,0.09,1,0,0,0,1,0
Nice,Dante,br BRA,DF,40.0,21.9,21,0.96,19,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Nice,Pablo Rosario,nl NED,MF,27.0,19.8,35,1.78,30,0,1,1,0,3,2,0.1,2,0,0,0,0,0
Nice,Mohamed Ali Cho,fr FRA,FW,20.0,18.2,59,3.28,45,3,5,1,5,0,11,0.61,8,0,1,1,1,0
Nice,Gaëtan Laborde,fr FRA,FW,30.0,20.5,63,3.1,48,0,4,9,2,0,7,0.34,6,0,0,0,1,0
