Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Cagliari,Alen Sherri,al ALB,GK,26.0,6,6,540.0,6.9,11,1.83,31,20,64.5,1,2,4,1,16.7,0,0,0,0,
Cagliari,Giuseppe Ciocci,it ITA,GK,22.0,0,0,,0.1,0,,0,0,,0,0,0,0,,0,0,0,0,
Parma,Zion Suzuki,jp JPN,GK,21.0,36,36,3240.0,36.8,53,1.47,150,99,68.0,7,15,15,7,19.4,5,5,0,0,0.0
Parma,Leandro Chichizola,ar ARG,GK,34.0,1,1,90.0,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Lecce,Wladimiro Falcone,it ITA,GK,29.0,38,38,3420.0,38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1
Empoli,Devis Vásquez,co COL,GK,26.0,32,32,2880.0,32.0,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1,50.0
Empoli,Marco Silvestri,it ITA,GK,33.0,5,5,450.0,5.0,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0,
Empoli,Jacopo Seghetti,it ITA,GK,19.0,1,1,90.0,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Venezia,Filip Stankovic,rs SRB,GK,22.0,15,15,1350.0,15.2,23,1.53,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0
Venezia,Ionuț Radu,ro ROU,GK,27.0,15,15,1350.0,15.0,18,1.2,65,47,76.9,2,7,6,4,26.7,3,3,0,0,0.0
Venezia,Jesse Joronen,fi FIN,GK,31.0,7,7,630.0,7.8,15,2.14,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0
Monza,Stefano Turati,it ITA,GK,22.0,29,29,2610.0,29.7,52,1.79,145,93,65.5,2,7,21,2,6.9,4,2,2,0,50.0
Monza,Semuel Pizzignacco,it ITA,GK,22.0,7,7,630.0,8.2,17,2.43,38,22,55.3,1,2,5,1,14.3,0,0,0,0,
Monza,Andrea Mazza,it ITA,GK,20.0,0,0,,0.1,0,,0,0,,0,0,0,0,,0,0,0,0,
Bayern Munich,Manuel Neuer,de GER,GK,38.0,22,22,1980.0,22.0,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0.0
Bayern Munich,Jonas Urbig,de GER,GK,20.0,8,8,720.0,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,
Bayern Munich,Daniel Peretz,il ISR,GK,24.0,3,3,270.0,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,
Bayern Munich,Sven Ulreich,de GER,GK,35.0,1,1,90.0,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
Bayer Leverkusen,Lukáš Hrádecký,fi FIN,GK,34.0,29,29,2610.0,29.0,38,1.31,118,83,71.2,16,11,2,6,20.7,4,4,0,0,0.0
Bayer Leverkusen,Matej Kovar,cz CZE,GK,24.0,5,5,450.0,5.0,5,1.0,16,12,68.8,3,1,1,3,60.0,0,0,0,0,
Eintracht Frankfurt,Kevin Trapp,de GER,GK,34.0,26,26,2295.0,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0
Eintracht Frankfurt,Kauã Santos,br BRA,GK,21.0,9,8,765.0,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0
Dortmund,Gregor Kobel,ch SUI,GK,26.0,32,32,2880.0,32.0,47,1.47,129,82,66.7,16,6,10,7,21.9,4,4,0,0,0.0
Dortmund,Alexander Meyer,de GER,GK,33.0,2,2,180.0,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,
Freiburg,Noah Atubolu,de GER,GK,22.0,25,25,2250.0,25.6,37,1.48,120,81,69.2,12,6,8,10,40.0,2,0,2,0,100.0
Freiburg,Florian Müller,de GER,GK,26.0,8,8,720.0,8.4,16,2.0,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0.0
Mainz 05,Robin Zentner,de GER,GK,29.0,32,32,2880.0,32.0,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20.0
Mainz 05,Lasse Rieß,de GER,GK,23.0,2,2,180.0,2.0,2,1.0,8,6,75.0,1,1,0,0,0.0,0,0,0,0,
RB Leipzig,Péter Gulácsi,hu HUN,GK,34.0,29,29,2565.0,29.2,39,1.37,137,97,73.0,12,11,7,14,48.3,3,2,1,0,33.3
RB Leipzig,Maarten Vandevoordt,be BEL,GK,22.0,5,4,405.0,4.8,9,2.0,21,12,57.1,1,1,2,0,0.0,0,0,0,0,
Werder Bremen,Michael Zetterer,de GER,GK,29.0,34,34,3060.0,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0
Stuttgart,Alexander Nübel,de GER,GK,27.0,34,34,3060.0,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3
Monchengladbach,Moritz Nicolas,de GER,GK,26.0,18,18,1620.0,18.2,25,1.39,92,69,78.3,9,4,6,4,22.2,5,5,0,0,0.0
Monchengladbach,Jonas Omlin,ch SUI,GK,30.0,10,10,837.0,10.9,26,2.8,72,45,66.7,2,1,8,1,10.0,3,2,1,0,33.3
Monchengladbach,Tiago Cardoso,lu LUX,GK,18.0,4,4,360.0,4.2,3,0.75,23,20,87.0,2,1,1,2,50.0,0,0,0,0,
Monchengladbach,Tobias Sippel,de GER,GK,36.0,1,0,59.0,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,
Wolfsburg,Kamil Grabara,pl POL,GK,25.0,28,28,2520.0,28.7,49,1.75,137,88,65.7,9,7,13,5,17.9,3,2,1,0,33.3
Wolfsburg,Marius Müller,de GER,GK,31.0,5,5,450.0,5.3,5,1.0,23,18,78.3,2,3,0,1,20.0,0,0,0,0,
