Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Brentford,Nathan Collins,ie IRL,DF,23.0,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5
Brentford,Bryan Mbeumo,cm CMR,FW,24.0,38.0,20,79,34,43.0,2.08,0.9,0.19,0.44,17.9,6,5,6,12.3,7.5,0.1,7.7,7.5
Brentford,Mark Flekken,nl NED,GK,31.0,36.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Keane Lewis-Potter,eng ENG,DF,23.0,34.5,1,28,14,50.0,0.81,0.41,0.04,0.07,20.2,1,0,0,3.1,3.1,0.11,-2.1,-2.1
Brentford,Mikkel Damsgaard,dk DEN,MF,24.0,32.6,2,35,7,20.0,1.07,0.21,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8
Brentford,Yoane Wissa,cd COD,FW,27.0,32.6,19,90,41,45.6,2.76,1.26,0.21,0.46,13.2,0,0,0,18.5,18.5,0.21,0.5,0.5
Brentford,Christian Nørgaard,dk DEN,MF,30.0,31.4,5,39,15,38.5,1.24,0.48,0.13,0.33,14.3,0,0,0,4.3,4.3,0.11,0.7,0.7
Brentford,Sepp van den Berg,nl NED,DF,22.0,28.8,0,20,6,30.0,0.69,0.21,0.0,0.0,10.5,0,0,0,2.0,2.0,0.1,-2.0,-2.0
Brentford,Vitaly Janelt,de GER,MF,26.0,25.2,1,14,4,28.6,0.55,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2
Brentford,Kevin Schade,de GER,FW,22.0,25.7,11,55,27,49.1,2.14,1.05,0.2,0.41,11.5,0,0,0,8.2,8.2,0.15,2.8,2.8
Brentford,Ethan Pinnock,jm JAM,DF,31.0,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9
Brentford,Kristoffer Ajer,no NOR,DF,26.0,16.1,0,9,3,33.3,0.56,0.19,0.0,0.0,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0
Brentford,Yehor Yarmoliuk,ua UKR,MF,20.0,16.2,0,9,2,22.2,0.56,0.12,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Brentford,Mads Roerslev,dk DEN,DF,25.0,12.3,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Brentford,Mathias Jensen,dk DEN,MF,28.0,9.6,0,6,1,16.7,0.62,0.1,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Brentford,Michael Kayode,it ITA,DF,20.0,5.9,0,2,0,0.0,0.34,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Brentford,Fabio Carvalho,pt POR,FW,21.0,5.1,2,12,5,41.7,2.36,0.98,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5
Brentford,Ben Mee,eng ENG,DF,34.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Thiago,br BRA,FW,23.0,2.0,0,2,0,0.0,1.02,0.0,0.0,,14.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Brentford,Hákon Rafn Valdimarsson,is ISL,GK,22.0,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Edmond-Paris Maghoma,eng ENG,MF,23.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Brentford,Rico Henry,eng ENG,DF,27.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Yunus Emre Konak,tr TUR,FW,18.0,0.5,0,1,0,0.0,2.14,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Brentford,Kim Jisoo,kr KOR,DF,19.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Frank Onyeka,ng NGA,MF,26.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Gustavo Nunes,br BRA,FW,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Jayden Meghoma,eng ENG,DF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brentford,Ryan Trevitt,eng ENG,MF,21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fulham,Bernd Leno,de GER,GK,32.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fulham,Antonee Robinson,us USA,DF,26.0,35.2,0,16,2,12.5,0.45,0.06,0.0,0.0,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7
Fulham,Alex Iwobi,ng NGA,FW,28.0,33.3,9,68,29,42.6,2.04,0.87,0.13,0.31,18.3,0,0,0,4.7,4.7,0.07,4.3,4.3
Fulham,Calvin Bassey,ng NGA,DF,24.0,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0
Fulham,Raúl Jiménez,mx MEX,FW,33.0,27.9,12,93,30,32.3,3.33,1.07,0.1,0.3,14.5,1,3,3,12.0,9.6,0.1,0.0,-0.6
Fulham,Joachim Andersen,dk DEN,DF,28.0,28.7,0,19,4,21.1,0.66,0.14,0.0,0.0,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Fulham,Saša Lukić,rs SRB,MF,27.0,26.2,0,18,2,11.1,0.69,0.08,0.0,0.0,20.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Fulham,Sander Berge,no NOR,MF,26.0,24.8,0,3,1,33.3,0.12,0.04,0.0,0.0,8.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Fulham,Emile Smith Rowe,eng ENG,MF,24.0,23.0,6,37,11,29.7,1.61,0.48,0.16,0.55,16.0,0,0,0,4.5,4.5,0.12,1.5,1.5
Fulham,Andreas Pereira,br BRA,MF,28.0,22.6,2,38,8,21.1,1.68,0.35,0.05,0.25,21.8,6,0,1,3.8,3.0,0.08,-1.8,-1.0
Fulham,Kenny Tete,nl NED,DF,28.0,19.8,0,24,2,8.3,1.21,0.1,0.0,0.0,15.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4
Fulham,Adama Traoré,es ESP,FW,28.0,19.8,2,39,12,30.8,1.97,0.6,0.05,0.17,14.2,0,0,0,4.0,4.0,0.1,-2.0,-2.0
Fulham,Timothy Castagne,be BEL,DF,28.0,18.3,0,8,3,37.5,0.44,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Fulham,Issa Diop,fr FRA,DF,27.0,14.9,0,5,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Fulham,Harry Wilson,wls WAL,FW,27.0,13.0,6,43,17,39.5,3.3,1.3,0.14,0.35,18.0,1,0,0,4.2,4.2,0.1,1.8,1.8
Fulham,Rodrigo Muniz,br BRA,FW,23.0,10.8,8,39,19,48.7,3.61,1.76,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,2.2,2.2
Fulham,Ryan Sessegnon,eng ENG,"FW,DF",24.0,6.5,4,14,8,57.1,2.15,1.23,0.29,0.5,12.8,0,0,0,1.6,1.6,0.12,2.4,2.4
Fulham,Reiss Nelson,eng ENG,FW,24.0,5.5,1,12,6,50.0,2.2,1.1,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
Fulham,Jorge Cuenca,es ESP,DF,24.0,3.9,0,1,0,0.0,0.26,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Fulham,Tom Cairney,sct SCO,MF,33.0,7.0,2,11,4,36.4,1.57,0.57,0.18,0.5,20.4,2,0,0,0.8,0.8,0.07,1.2,1.2
Fulham,Willian,br BRA,FW,35.0,2.9,0,7,0,0.0,2.43,0.0,0.0,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Fulham,Joshua King,eng ENG,MF,17.0,1.5,0,3,0,0.0,2.06,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Fulham,Harrison Reed,eng ENG,MF,29.0,1.2,0,3,2,66.7,2.5,1.67,0.0,0.0,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Fulham,Martial Godo,eng ENG,"FW,DF",21.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fulham,Carlos Vinícius,br BRA,MF,29.0,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Fulham,Jay Stansfield,eng ENG,MF,21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Crystal Palace,Dean Henderson,eng ENG,GK,27.0,38.0,0,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Crystal Palace,Daniel Muñoz,co COL,DF,28.0,35.9,4,37,14,37.8,1.03,0.39,0.11,0.29,12.7,0,0,0,4.9,4.9,0.13,-0.9,-0.9
Crystal Palace,Tyrick Mitchell,eng ENG,DF,24.0,34.5,0,12,3,25.0,0.35,0.09,0.0,0.0,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3
Crystal Palace,Maxence Lacroix,fr FRA,DF,24.0,34.7,1,30,5,16.7,0.87,0.14,0.03,0.2,10.8,0,0,0,3.4,3.4,0.11,-2.4,-2.4
Crystal Palace,Marc Guéhi,eng ENG,DF,24.0,34.0,3,15,7,46.7,0.44,0.21,0.2,0.43,10.7,0,0,0,2.0,2.0,0.13,1.0,1.0
Crystal Palace,Jean-Philippe Mateta,fr FRA,FW,27.0,29.6,14,68,29,42.6,2.3,0.98,0.18,0.41,15.5,0,2,2,13.6,12.0,0.18,0.4,0.0
Crystal Palace,Eberechi Eze,eng ENG,MF,26.0,28.9,8,100,27,27.0,3.45,0.93,0.07,0.26,21.6,16,1,2,10.4,8.9,0.09,-2.4,-1.9
Crystal Palace,Ismaila Sarr,sn SEN,MF,26.0,30.3,8,59,29,49.2,1.95,0.96,0.14,0.28,13.2,0,0,0,10.8,10.8,0.19,-2.8,-2.8
Crystal Palace,Jefferson Lerma,co COL,MF,29.0,25.3,0,26,8,30.8,1.03,0.32,0.0,0.0,19.8,0,0,0,1.1,1.1,0.04,-1.1,-1.1
Crystal Palace,Will Hughes,eng ENG,MF,29.0,23.6,0,22,1,4.5,0.93,0.04,0.0,0.0,22.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Crystal Palace,Chris Richards,us USA,DF,24.0,21.4,1,12,6,50.0,0.56,0.28,0.08,0.17,11.0,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Crystal Palace,Adam Wharton,eng ENG,MF,20.0,14.8,0,13,5,38.5,0.88,0.34,0.0,0.0,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Crystal Palace,Daichi Kamada,jp JPN,MF,27.0,17.5,0,20,4,20.0,1.15,0.23,0.0,0.0,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Crystal Palace,Trevoh Chalobah,eng ENG,DF,25.0,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8
Crystal Palace,Eddie Nketiah,eng ENG,FW,25.0,11.6,3,43,16,37.2,3.72,1.38,0.07,0.19,13.8,0,0,0,5.7,5.7,0.13,-2.7,-2.7
Crystal Palace,Nathaniel Clyne,eng ENG,DF,33.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Crystal Palace,Justin Devenny,nir NIR,MF,20.0,5.7,1,10,6,60.0,1.76,1.06,0.1,0.17,21.1,1,0,0,0.8,0.8,0.08,0.2,0.2
Crystal Palace,Cheick Doucouré,ml MLI,MF,24.0,5.0,0,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Crystal Palace,Ben Chilwell,eng ENG,DF,27.0,2.9,1,5,3,60.0,1.74,1.04,0.2,0.33,25.4,2,0,0,0.2,0.2,0.05,0.8,0.8
Crystal Palace,Romain Esse,eng ENG,MF,19.0,1.5,1,1,1,100.0,0.65,0.65,1.0,1.0,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7
Crystal Palace,Odsonne Édouard,fr FRA,MF,26.0,1.3,0,5,1,20.0,3.88,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Crystal Palace,Joachim Andersen,dk DEN,DF,28.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Crystal Palace,Chadi Riad,ma MAR,DF,21.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Crystal Palace,Joel Ward,eng ENG,DF,34.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Crystal Palace,Jeffrey Schlupp,gh GHA,MF,31.0,1.1,0,4,2,50.0,3.5,1.75,0.0,0.0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Crystal Palace,Matheus França,br BRA,MF,20.0,0.6,1,6,3,50.0,9.82,4.91,0.17,0.33,15.8,0,0,0,0.3,0.3,0.04,0.7,0.7
Crystal Palace,Jordan Ayew,gh GHA,FW,32.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5
Crystal Palace,Caleb Kporha,eng ENG,DF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Crystal Palace,Asher Agbinone,eng ENG,MF,18.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Everton,Jordan Pickford,eng ENG,GK,30.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Everton,Vitaliy Mykolenko,ua UKR,DF,25.0,34.3,1,14,1,7.1,0.41,0.03,0.07,1.0,20.6,0,0,0,0.5,0.5,0.04,0.5,0.5
Everton,Idrissa Gana Gueye,sn SEN,MF,34.0,34.1,0,27,5,18.5,0.79,0.15,0.0,0.0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1
Everton,James Tarkowski,eng ENG,DF,31.0,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3
Everton,Abdoulaye Doucouré,ml MLI,MF,31.0,28.6,3,31,9,29.0,1.08,0.31,0.1,0.33,14.0,0,0,0,4.1,4.1,0.13,-1.1,-1.1
Everton,Iliman Ndiaye,sn SEN,FW,24.0,27.2,9,35,15,42.9,1.29,0.55,0.2,0.47,17.1,0,2,2,6.2,4.7,0.13,2.8,2.3
Everton,Jarrad Branthwaite,eng ENG,DF,22.0,27.9,0,10,3,30.0,0.36,0.11,0.0,0.0,8.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2
Everton,Jack Harrison,eng ENG,FW,27.0,23.2,1,29,7,24.1,1.25,0.3,0.03,0.14,16.2,0,0,0,3.5,3.5,0.12,-2.5,-2.5
Everton,Ashley Young,eng ENG,DF,39.0,20.9,1,6,3,50.0,0.29,0.14,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7
Everton,Dominic Calvert-Lewin,eng ENG,FW,27.0,18.0,3,50,19,38.0,2.78,1.06,0.06,0.16,12.3,0,0,0,6.7,6.7,0.14,-3.7,-3.7
Everton,James Garner,eng ENG,MF,23.0,17.8,0,12,4,33.3,0.68,0.23,0.0,0.0,20.4,1,0,0,0.7,0.7,0.06,-0.7,-0.7
Everton,Jake O'Brien,ie IRL,DF,23.0,17.5,2,6,3,50.0,0.34,0.17,0.33,0.67,11.1,0,0,0,0.8,0.8,0.13,1.2,1.2
Everton,Beto,gw GNB,FW,26.0,17.1,8,49,23,46.9,2.86,1.34,0.16,0.35,13.1,0,0,0,8.2,8.2,0.17,-0.2,-0.2
Everton,Dwight McNeil,eng ENG,MF,24.0,15.3,4,25,10,40.0,1.64,0.65,0.16,0.4,21.9,0,0,0,1.1,1.1,0.04,2.9,2.9
Everton,Jesper Lindstrøm,dk DEN,FW,24.0,13.9,0,28,10,35.7,2.01,0.72,0.0,0.0,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1
Everton,Orel Mangala,be BEL,MF,26.0,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1
Everton,Michael Keane,eng ENG,DF,31.0,11.7,3,10,4,40.0,0.86,0.34,0.3,0.75,13.2,0,0,0,0.6,0.6,0.06,2.4,2.4
Everton,Carlos Alcaraz,ar ARG,FW,21.0,8.5,2,26,11,42.3,3.04,1.29,0.08,0.18,20.3,1,0,0,1.7,1.7,0.07,0.3,0.3
Everton,Tim Iroegbunam,eng ENG,MF,21.0,6.4,0,5,0,0.0,0.78,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Everton,Armando Broja,al ALB,FW,22.0,3.8,0,4,0,0.0,1.07,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Everton,Nathan Patterson,sct SCO,DF,22.0,3.9,0,1,0,0.0,0.26,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Everton,Séamus Coleman,ie IRL,DF,35.0,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6
Everton,Roman Dixon,eng ENG,DF,19.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Everton,Harrison Armstrong,eng ENG,MF,17.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4
Everton,Youssef Chermiti,pt POR,FW,20.0,0.5,0,3,1,33.3,6.0,2.0,0.0,0.0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Everton,Mason Holgate,eng ENG,"FW,DF",27.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
West Ham United,Max Kilman,eng ENG,DF,27.0,37.2,0,13,2,15.4,0.35,0.05,0.0,0.0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6
West Ham United,Aaron Wan-Bissaka,eng ENG,DF,26.0,35.1,2,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8
West Ham United,Jarrod Bowen,eng ENG,FW,27.0,33.1,13,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,4.4,4.2
West Ham United,Mohammed Kudus,gh GHA,FW,23.0,28.9,5,75,21,28.0,2.59,0.73,0.07,0.24,16.0,0,0,0,6.9,6.9,0.09,-1.9,-1.9
West Ham United,Tomáš Souček,cz CZE,MF,29.0,28.6,9,55,17,30.9,1.92,0.59,0.16,0.53,11.9,0,0,0,6.7,6.7,0.13,2.3,2.3
West Ham United,Lucas Paquetá,br BRA,MF,26.0,26.6,4,39,3,7.7,1.47,0.11,0.05,0.67,19.5,4,2,2,5.3,3.7,0.1,-1.3,-1.7
West Ham United,Emerson Palmieri,it ITA,DF,29.0,23.7,2,16,7,43.8,0.68,0.3,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0
West Ham United,Alphonse Areola,fr FRA,GK,31.0,25.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
West Ham United,Konstantinos Mavropanos,gr GRE,DF,26.0,22.7,0,18,5,27.8,0.79,0.22,0.0,0.0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5
West Ham United,Jean-Clair Todibo,fr FRA,DF,24.0,20.4,0,5,0,0.0,0.25,0.0,0.0,,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
West Ham United,Edson Álvarez,mx MEX,MF,26.0,19.8,0,12,1,8.3,0.6,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4
West Ham United,Guido Rodríguez,ar ARG,MF,30.0,12.9,0,8,1,12.5,0.62,0.08,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
West Ham United,Carlos Soler,es ESP,MF,27.0,15.8,1,25,8,32.0,1.59,0.51,0.04,0.13,19.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8
West Ham United,Łukasz Fabiański,pl POL,GK,39.0,12.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
West Ham United,James Ward-Prowse,eng ENG,MF,29.0,11.6,1,13,5,38.5,1.12,0.43,0.08,0.2,19.9,3,0,0,1.6,1.6,0.13,-0.6,-0.6
West Ham United,Vladimír Coufal,cz CZE,DF,31.0,11.9,0,7,2,28.6,0.59,0.17,0.0,0.0,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
West Ham United,Michail Antonio,jm JAM,FW,34.0,9.4,1,19,4,21.1,2.02,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
West Ham United,Aaron Cresswell,eng ENG,DF,34.0,9.2,0,5,0,0.0,0.54,0.0,0.0,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2
West Ham United,Crysencio Summerville,nl NED,FW,22.0,8.8,1,14,4,28.6,1.59,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
West Ham United,Oliver Scarles,eng ENG,DF,18.0,7.4,0,3,0,0.0,0.4,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
West Ham United,Niclas Füllkrug,de GER,FW,31.0,8.8,3,16,7,43.8,1.81,0.79,0.19,0.43,10.3,0,0,0,2.2,2.2,0.14,0.8,0.8
West Ham United,Danny Ings,eng ENG,FW,32.0,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3
West Ham United,Andy Irving,sct SCO,MF,24.0,1.9,0,4,2,50.0,2.16,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
West Ham United,Evan Ferguson,ie IRL,FW,19.0,1.7,0,5,1,20.0,2.88,0.58,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6
West Ham United,Luis Guilherme,br BRA,MF,18.0,1.7,0,4,1,25.0,2.4,0.6,0.0,0.0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4
West Ham United,Lewis Orford,eng ENG,MF,18.0,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0
West Ham United,Kaelan Casey,eng ENG,DF,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Manchester United,Bruno Fernandes,pt POR,MF,29.0,33.6,8,93,26,28.0,2.77,0.77,0.05,0.19,22.6,12,3,3,9.9,7.6,0.08,-1.9,-2.6
Manchester United,André Onana,cm CMR,GK,28.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Manchester United,Noussair Mazraoui,ma MAR,DF,26.0,31.7,0,13,3,23.1,0.41,0.09,0.0,0.0,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Manchester United,Diogo Dalot,pt POR,DF,25.0,31.3,0,25,5,20.0,0.8,0.16,0.0,0.0,16.1,0,0,0,2.0,2.0,0.08,-2.0,-2.0
Manchester United,Matthijs de Ligt,nl NED,DF,24.0,23.7,2,18,9,50.0,0.76,0.38,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5
Manchester United,Alejandro Garnacho,ar ARG,MF,20.0,24.5,6,84,29,34.5,3.42,1.18,0.07,0.21,17.0,0,0,0,7.3,7.3,0.09,-1.3,-1.3
Manchester United,Rasmus Højlund,dk DEN,FW,21.0,22.4,4,32,13,40.6,1.43,0.58,0.13,0.31,12.9,0,0,0,5.3,5.3,0.16,-1.3,-1.3
Manchester United,Manuel Ugarte Ribeiro,uy URU,MF,23.0,20.0,1,19,4,21.1,0.95,0.2,0.05,0.25,21.7,0,0,0,1.0,1.0,0.05,0.0,0.0
Manchester United,Amad Diallo,ci CIV,MF,22.0,21.2,8,47,17,36.2,2.22,0.8,0.17,0.47,17.5,0,0,0,4.7,4.7,0.1,3.3,3.3
Manchester United,Lisandro Martínez,ar ARG,DF,26.0,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7
Manchester United,Harry Maguire,eng ENG,DF,31.0,19.6,1,15,6,40.0,0.77,0.31,0.07,0.17,8.2,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Manchester United,Kobbie Mainoo,eng ENG,MF,19.0,18.5,0,15,2,13.3,0.81,0.11,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Manchester United,Casemiro,br BRA,MF,32.0,16.7,1,32,10,31.3,1.91,0.6,0.03,0.1,19.5,0,0,0,1.9,1.9,0.06,-0.9,-0.9
Manchester United,Joshua Zirkzee,nl NED,FW,23.0,15.7,3,28,11,39.3,1.79,0.7,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8
Manchester United,Leny Yoro,fr FRA,DF,18.0,13.0,0,5,1,20.0,0.38,0.08,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7
Manchester United,Marcus Rashford,eng ENG,FW,26.0,11.0,4,16,9,56.3,1.46,0.82,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3
Manchester United,Christian Eriksen,dk DEN,MF,32.0,11.9,1,14,1,7.1,1.18,0.08,0.0,0.0,25.8,3,1,1,1.4,0.6,0.04,-0.4,-0.6
Manchester United,Patrick Dorgu,dk DEN,DF,19.0,9.4,0,10,2,20.0,1.07,0.21,0.0,0.0,16.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Manchester United,Mason Mount,eng ENG,MF,25.0,7.0,1,20,9,45.0,2.86,1.29,0.05,0.11,15.0,0,0,0,3.2,3.2,0.17,-2.2,-2.2
Manchester United,Victor Lindelöf,se SWE,DF,30.0,7.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Manchester United,Altay Bayındır,tr TUR,GK,26.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Manchester United,Luke Shaw,eng ENG,DF,29.0,3.9,0,1,0,0.0,0.26,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Manchester United,Harry Amass,eng ENG,DF,17.0,3.9,0,3,0,0.0,0.78,0.0,0.0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Manchester United,Jonny Evans,nir NIR,DF,36.0,3.5,0,2,1,50.0,0.57,0.28,0.0,0.0,11.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Manchester United,Ayden Heaven,eng ENG,DF,17.0,1.9,0,2,0,0.0,1.05,0.0,0.0,,15.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
