Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Monaco,Christian Mawissa,fr FRA,DF,19.0,16.7,0,1,1,100.0,0.06,0.06,0.0,0.0,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Monaco,Mika Biereth,dk DEN,FW,21.0,13.8,13,40,22,55.0,2.91,1.6,0.3,0.55,11.6,0,1,2,11.3,9.7,0.24,1.7,2.3
Monaco,Radosław Majecki,pl POL,GK,24.0,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Monaco,Aleksandr Golovin,ru RUS,MF,28.0,12.9,3,24,9,37.5,1.86,0.7,0.13,0.33,21.4,0,0,0,2.3,2.3,0.1,0.7,0.7
Monaco,Soungoutou Magassa,fr FRA,MF,20.0,11.4,0,8,3,37.5,0.7,0.26,0.0,0.0,19.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Monaco,Mohammed Salisu,gh GHA,DF,25.0,11.4,1,8,4,50.0,0.7,0.35,0.13,0.25,8.1,0,0,0,0.8,0.8,0.1,0.2,0.2
Monaco,Jordan Teze,nl NED,DF,24.0,6.4,1,5,2,40.0,0.78,0.31,0.2,0.5,13.8,0,0,0,1.2,1.2,0.24,-0.2,-0.2
Monaco,Folarin Balogun,us USA,FW,23.0,6.9,4,31,10,32.3,4.51,1.45,0.13,0.4,13.3,0,0,0,4.8,4.8,0.15,-0.8,-0.8
Monaco,George Ilenikhena,ng NGA,FW,17.0,8.0,3,21,9,42.9,2.62,1.12,0.14,0.33,13.5,0,0,0,5.1,5.1,0.24,-2.1,-2.1
Monaco,Kassoum Ouattara,fr FRA,DF,19.0,4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,21.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Monaco,Krépin Diatta,sn SEN,DF,25.0,5.7,0,2,1,50.0,0.35,0.18,0.0,0.0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Monaco,Almoatasem Al Musrati,ly LBY,MF,28.0,4.3,1,11,3,27.3,2.56,0.7,0.09,0.33,18.4,0,0,0,0.5,0.5,0.04,0.5,0.5
Monaco,Ismail Jakobs,sn SEN,DF,24.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Monaco,Saïmon Bouabré,fr FRA,MF,18.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Monaco,Eliot Matazo,be BEL,MF,22.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Monaco,Lucas Michal,fr FRA,FW,19.0,1.3,0,3,1,33.3,2.31,0.77,0.0,0.0,12.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Monaco,Mamadou Coulibaly,fr FRA,MF,20.0,0.1,0,1,0,0.0,11.25,0.0,0.0,,22.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Nice,Marcin Bułka,pl POL,GK,24.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nice,Evann Guessand,ci CIV,FW,23.0,28.6,12,63,27,42.9,2.2,0.94,0.19,0.44,12.7,0,0,0,9.2,9.2,0.15,2.8,2.8
Nice,Hicham Boudaoui,dz ALG,MF,24.0,27.1,2,39,18,46.2,1.44,0.66,0.05,0.11,19.1,0,0,0,2.7,2.7,0.07,-0.7,-0.7
